state,filling_status,income_limit,rate,tax_previous_bracket
IA,married_filing_jointly,3030,0.0243,16.37
IA,married_filing_jointly,1515,0.0072,5.46
IA,married_filing_jointly,0,0.0036,0.0
IA,single_filers,68175,0.0898,4308.06
IA,single_filers,45450,0.0792,2508.24
IA,single_filers,30300,0.068,1478.04
IA,single_filers,22725,0.0648,987.18
IA,single_filers,13635,0.0612,430.87
IA,single_filers,6060,0.045,90.0
IA,single_filers,3030,0.0243,16.37
IA,single_filers,1515,0.0072,5.46
IA,single_filers,0,0.0036,0.0
ID,married_filing_jointly,21136,0.074,1078.02
ID,married_filing_jointly,14089,0.071,577.68
ID,married_filing_jointly,11271,0.061,405.78
ID,married_filing_jointly,8453,0.051,262.06
ID,married_filing_jointly,5635,0.041,146.52
ID,married_filing_jointly,2817,0.036,45.08
ID,married_filing_jointly,0,0.016,0.0
ID,single_filers,10567,0.074,538.97
ID,single_filers,7044,0.071,288.83
ID,single_filers,5635,0.061,202.88
ID,single_filers,4226,0.051,131.03
ID,single_filers,2817,0.041,73.26
ID,single_filers,1408,0.036,22.53
ID,single_filers,0,0.016,0.0
IL,married_filing_jointly,0,0.05,0.0
IL,single_filers,0,0.05,0.0
IN,married_filing_jointly,0,0.034,0.0
IN,single_filers,0,0.034,0.0
KS,married_filing_jointly,30000,0.049,810.0
KS,married_filing_jointly,0,0.027,0.0
KS,single_filers,15000,0.049,405.0
KS,single_filers,0,0.027,0.0
KY,married_filing_jointly,75000,0.06,4166.0
KY,married_filing_jointly,8000,0.058,280.0
KY,married_filing_jointly,5000,0.05,130.0
KY,married_filing_jointly,4000,0.04,90.0
KY,married_filing_jointly,3000,0.03,60.0
KY,married_filing_jointly,0,0.02,0.0
KY,single_filers,75000,0.06,4166.0
KY,single_filers,8000,0.058,280.0
KY,single_filers,5000,0.05,130.0
KY,single_filers,4000,0.04,90.0
KY,single_filers,3000,0.03,60.0
KY,single_filers,0,0.02,0.0
LA,married_filing_jointly,100000,0.06,3500.0
LA,married_filing_jointly,25000,0.04,500.0
LA,married_filing_jointly,0,0.02,0.0
LA,single_filers,50000,0.06,1750.0
LA,single_filers,12500,0.04,250.0
LA,single_filers,0,0.02,0.0
MA,married_filing_jointly,0,0.0525,0.0
MA,single_filers,0,0.0525,0.0
MD,married_filing_jointly,300000,0.0575,15072.5
